city,lat,lng,pop
Portsmouth,50.80034751,-1.080022218,200000
Cartagena,37.60042971,-0.980028322,100000
Reading,51.46997072,-0.980028322,200000
Zaragoza,41.65000165,-0.889982138,200000
Bordeaux,44.85001304,-0.595013063,257188
Angers,47.48000755,-0.530029949,100000
Alicante,38.3512199,-0.483640721,200000
Scarborough,54.28039349,-0.429984376,50000
Luton,51.88035911,-0.420010825,200000
Valencia,39.48501752,-0.400012046,200000
Caen,49.18375368,-0.349989259,100000
Kingston upon Hull,53.75042584,-0.32999048,200000
Peterborough,52.58041974,-0.249995363,100000
Brighton,50.83034568,-0.169974407,200000
London,51.49999473,-0.116721844,4504733
Castello,39.97041424,-0.05000757,100000
Tarbes,43.23329002,0.083343464,50000
Le Mans,48.00041506,0.099983275,100000
Le Havre,49.50497438,0.104970051,200000
Cambridge,52.20039125,0.116623086,100000
Poitier,46.58329226,0.333276529,75000
Tours,47.38037539,0.699946654,100000
Southend-on-Sea,51.55001752,0.71999711,200000
Rouen,49.43040529,1.079975137,200000
Ipswich,52.07034751,1.169995482,100000
Tarragona,41.12036989,1.249990599,100000
Limoges,45.82997906,1.249990599,100000
Norwich,52.63036501,1.300013386,100000
Toulouse,43.61995892,1.449926716,200000
Brive,45.15040814,1.533332477,50000
Calais,50.95041587,1.833314167,75000
Orleans,47.90042116,1.900028441,100000
Versailles,48.80046958,2.133347533,75000
Barcelona,41.38329958,2.183370319,528946
Amiens,49.90037661,2.300004027,100000
Paris,48.86669293,2.333335326,2660559
Bourges,47.08372683,2.399997923,50000
Mataro,41.53995668,2.45002071,100000
Palma,39.57426271,2.65424597,200000
Melun,48.53330243,2.666648314,100000
Arras,50.28332481,2.783333698,50000
Perpignan,42.69998924,2.899967406,100000
Clermont-Ferrand,45.77998212,3.080008096,100000
Lille,50.64996909,3.080008096,200000
Beziers,43.35049217,3.209974323,75000
Brugge,51.22037355,3.230024779,100000
Gent,51.02999758,3.700021931,200000
Ypres,50.85,2.883333,100000
Montpellier,43.61039878,3.869985716,200000
Mons,50.44599911,3.939003561,75000
Reims,49.25039044,4.029975951,100000
Roanne,46.03332583,4.066666218,50000
Troyes,48.34039431,4.083357705,50000
The Hague,52.08003684,4.269961302,200000
Brussels,50.83331708,4.333316608,570814
Nimes,43.83038535,4.350008096,100000
Saint-Etienne,45.43039105,4.380032103,200000
Antwerp,51.22037355,4.415017048,272830
Charleroi,50.42039654,4.450001992,200000
Rotterdam,51.9199691,4.479974323,328935
Haarlem,52.38043194,4.629991006,200000
Lyon,45.77000856,4.830030475,459910
Namur,50.47039349,4.870028034,75000
Amsterdam,52.34996869,4.916640176,523557
Dijon,47.33040428,5.030018268,100000
Utrecht,52.10034568,5.120038614,200000
's-Hertogenbosch,51.68333714,5.316660485,100000
Marseille,43.28997906,5.37501013,470457
Aix-en-Provence,43.51999086,5.449992634,100000
Hasselt,50.96400317,5.483997561,50000
